iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,new_vaccinations_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CHN,Asia,China,19/06/2020,84494,0,38,4638,0,0,58.704,0,0.026,3.222,0,0,1.44,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,20/06/2020,84553,59,38.143,4639,1,0.143,58.745,0.041,0.027,3.223,0.001,0,1.41,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,21/06/2020,84572,19,33.857,4639,0,0.143,58.758,0.013,0.024,3.223,0,0,1.31,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,22/06/2020,84624,52,35.143,4639,0,0.143,58.794,0.036,0.024,3.223,0,0,1.26,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,23/06/2020,84653,29,33,4640,1,0.286,58.814,0.02,0.023,3.224,0.001,0,1.17,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,24/06/2020,84673,20,30.714,4640,0,0.286,58.828,0.014,0.021,3.224,0,0,1.09,,,,,,,,,,90000000,62.529,,,,,,tests performed,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,25/06/2020,84701,28,29.571,4641,1,0.429,58.848,0.019,0.021,3.224,0.001,0,1.04,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,26/06/2020,84725,24,33,4641,0,0.429,58.864,0.017,0.023,3.224,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,27/06/2020,84743,18,27.143,4641,0,0.286,58.877,0.013,0.019,3.224,0,0,0.94,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,28/06/2020,84757,14,26.429,4641,0,0.286,58.887,0.01,0.018,3.224,0,0,0.92,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
