location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,17/09/2020,384087,3410,3363.286,41794,21,13.857,5657.823,50.231,49.543,615.65,0.309,0.204,127,1.871,1157,17.043,240202,19221203,283.139,3.538,239533,3.528,0.014,71.2
United Kingdom,18/09/2020,388416,4329,3475.429,41821,27,16.857,5721.592,63.769,51.195,616.047,0.398,0.248,138,2.033,1215,17.898,266308,19488409,287.076,3.923,237524,3.499,0.015,68.3
United Kingdom,19/09/2020,392845,4429,3607.571,41848,27,19.429,5786.833,65.242,53.142,616.445,0.398,0.286,144,2.121,1294,19.061,250954,19739363,290.772,3.697,240696,3.546,0.015,66.7
United Kingdom,20/09/2020,396744,3899,3687.714,41866,18,21.286,5844.268,57.435,54.322,616.71,0.265,0.314,165,2.431,1392,20.505,234786,19974148,294.231,3.459,242039,3.565,0.015,65.6
United Kingdom,21/09/2020,401122,4378,3938.143,41877,11,21.571,5908.758,64.49,58.011,616.872,0.162,0.318,181,2.666,1552,22.862,206782,20180930,297.277,3.046,240647,3.545,0.016,61.1
United Kingdom,22/09/2020,406058,4936,4198.286,41914,37,23,5981.469,72.71,61.843,617.417,0.545,0.339,211,3.108,1631,24.026,234815,20391992,300.386,3.459,236805,3.488,0.018,56.4
United Kingdom,23/09/2020,412245,6187,4509.714,41951,37,25.429,6072.607,91.138,66.431,617.962,0.545,0.375,228,3.359,1725,25.41,259221,20652193,304.219,3.818,238921,3.519,0.019,53
United Kingdom,24/09/2020,418889,6644,4971.714,41991,40,28.143,6170.477,97.87,73.236,618.552,0.589,0.415,243,3.58,1841,27.119,262109,20927096,308.268,3.861,243699,3.59,0.02,49
United Kingdom,25/09/2020,425767,6878,5335.857,42025,34,29.143,6271.794,101.317,78.6,619.052,0.501,0.429,262,3.859,2015,29.682,288701,21217136,312.541,4.253,246961,3.638,0.022,46.3
United Kingdom,26/09/2020,431817,6050,5567.429,42060,35,30.286,6360.914,89.12,82.011,619.568,0.516,0.446,261,3.845,2028,29.874,255488,21472624,316.304,3.763,247609,3.647,0.022,44.5
United Kingdom,27/09/2020,437517,5700,5824.714,42077,17,30.143,6444.878,83.964,85.801,619.818,0.25,0.444,276,4.066,2183,32.157,263526,21736150,320.186,3.882,251715,3.708,0.023,43.2
United Kingdom,28/09/2020,441573,4056,5778.714,42090,13,30.429,6504.625,59.747,85.124,620.01,0.191,0.448,297,4.375,2394,35.265,227038,21963666,323.537,3.344,254677,3.752,0.023,44.1
United Kingdom,29/09/2020,448729,7156,6095.857,42162,72,35.429,6610.037,105.412,89.795,621.071,1.061,0.522,314,4.625,2415,35.574,232212,22209600,327.16,3.421,259658,3.825,0.023,42.6
United Kingdom,30/09/2020,455846,7117,6228.714,42233,71,40.286,6714.875,104.838,91.753,622.116,1.046,0.593,333,4.905,2525,37.195,255915,22468246,330.97,3.77,259436,3.822,0.024,41.7
United Kingdom,01/10/2020,462775,6929,6269.429,42292,59,43,6816.943,102.068,92.352,622.986,0.869,0.633,341,5.023,2584,38.064,264979,22738421,334.95,3.903,258761,3.812,0.024,41.3
United Kingdom,02/10/2020,469769,6994,6286,42358,66,47.571,6919.968,103.026,92.596,623.958,0.972,0.701,369,5.436,2714,39.979,269820,23008415,338.927,3.975,255897,3.77,0.025,40.7
United Kingdom,03/10/2020,482654,12885,7262.429,42407,49,49.571,7109.772,189.803,106.98,624.68,0.722,0.73,369,5.436,2860,42.129,286802,23295217,343.152,4.225,260370,3.835,0.028,35.9
United Kingdom,04/10/2020,505619,22965,9728.857,42440,33,51.857,7448.06,338.288,143.312,625.166,0.486,0.764,369,5.436,3049,44.914,250348,23545565,346.84,3.688,258488,3.808,0.038,26.6
United Kingdom,05/10/2020,518222,12603,10949.857,42459,19,52.714,7633.709,185.649,161.298,625.446,0.28,0.777,393,5.789,3362,49.524,273100,23818928,350.867,4.023,265037,3.904,0.041,24.2
United Kingdom,06/10/2020,532779,14557,12007.143,42535,76,53.286,7848.142,214.433,176.872,626.565,1.12,0.785,410,6.04,3634,53.531,261336,24081522,354.735,3.85,267417,3.939,0.045,22.3
